Date,Name,Year,Letterboxd URI,Rating
2024-01-14,Parasite,2019,https://boxd.it/hTha,4
2024-01-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2024-01-14,Barbie,2023,https://boxd.it/bCLK,2
2024-01-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2024-01-19,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2024-01-21,Uncut Gems,2019,https://boxd.it/gXGc,3
2024-01-21,The House,2022,https://boxd.it/yVza,2.5
2024-01-31,Happy as Lazzaro,2018,https://boxd.it/hiVs,4
2024-02-04,The Troupe,1978,https://boxd.it/qT6,5
2024-02-17,Last Night in Soho,2021,https://boxd.it/lbJC,2
2024-02-18,Midsommar,2019,https://boxd.it/jhxe,4
2024-02-24,Past Lives,2023,https://boxd.it/oNB8,4.5
2024-02-25,Smoking Causes Coughing,2022,https://boxd.it/wVl4,4
2024-03-02,The Whale,2022,https://boxd.it/tw4c,2.5
2024-03-09,Saltburn,2023,https://boxd.it/z4eg,3.5
2024-03-09,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-11,Poor Things,2023,https://boxd.it/tNWU,3.5
2024-03-17,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2024-04-06,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2024-06-08,Pearl,2022,https://boxd.it/zPbe,4
2024-08-13,The Worst Person in the World,2021,https://boxd.it/oyws,3
2024-10-04,Footnote,2011,https://boxd.it/2o7o,5
2024-10-25,The Virgin Suicides,1999,https://boxd.it/28JG,3.5
2024-11-06,Genius Loci,2020,https://boxd.it/oHGm,5
2024-11-09,Babylon,2022,https://boxd.it/mM02,3.5
2024-11-17,La Chimera,2023,https://boxd.it/vzVi,4.5
2024-11-17,Fargo,1996,https://boxd.it/2aHM,4
2024-12-06,Flavors of Iraq,2024,https://boxd.it/q6HG,4.5
2024-12-07,Memoir of a Snail,2024,https://boxd.it/EgX8,4
2024-12-22,Anora,2024,https://boxd.it/Egcw,5
2025-01-12,Perfect Blue,1997,https://boxd.it/1W7A,4
2025-03-08,Caramel,2007,https://boxd.it/20Jo,4
2025-04-05,A Real Pain,2024,https://boxd.it/CjNG,3
2025-05-28,Black Swan,2010,https://boxd.it/Sw0,4
2025-05-31,The Square,2017,https://boxd.it/e5YW,2
2025-08-23,KPop Demon Hunters,2025,https://boxd.it/ufwK,5
2025-09-03,Materialists,2025,https://boxd.it/GZlW,0.5
2025-09-08,The Monkey,2025,https://boxd.it/Gwiu,0.5
2025-10-02,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,1
2025-11-30,Wicked: For Good,2025,https://boxd.it/AyfK,2.5
2026-02-01,The Substance,2024,https://boxd.it/zanS,2.5
2026-02-01,Honeyland,2019,https://boxd.it/kL8K,4
2026-02-07,Hamnet,2025,https://boxd.it/woVy,4.5
2026-03-06,Hereditary,2018,https://boxd.it/hNVe,4
2026-03-22,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,4
2026-04-18,Project Hail Mary,2026,https://boxd.it/pEeQ,4.5
