Date,Name,Year,Letterboxd URI,Rating
2024-06-18,Meet Joe Black,1998,https://boxd.it/2aEI,4
2024-06-18,Rosemary's Baby,1968,https://boxd.it/29zM,5
2024-06-18,Ringing Bell,1978,https://boxd.it/2HhW,5
2024-06-18,Nocturnal Animals,2016,https://boxd.it/bkFu,3.5
2024-06-18,La La Land,2016,https://boxd.it/a5fa,5
2024-06-18,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2024-06-18,Lars and the Real Girl,2007,https://boxd.it/21tG,4
2024-06-18,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2024-06-18,Adventure Time,2007,https://boxd.it/bZZ6,5
2024-06-18,Office Space,1999,https://boxd.it/28Em,5
2024-06-19,Gone Girl,2014,https://boxd.it/6hQu,4
2024-06-19,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2024-06-19,The Devil All the Time,2020,https://boxd.it/i2tY,5
2024-06-19,Palm Springs,2020,https://boxd.it/lCXQ,4
2024-06-19,Knives Out,2019,https://boxd.it/jWEA,3
2024-06-19,Murder on the Orient Express,2017,https://boxd.it/dHjA,4.5
2024-06-19,Downsizing,2017,https://boxd.it/9Ajq,1.5
2024-06-19,Baby Driver,2017,https://boxd.it/bhF2,5
2024-06-19,Get Out,2017,https://boxd.it/eOCm,3.5
2024-06-19,Zoolander 2,2016,https://boxd.it/aNBE,1.5
2024-06-19,The Intern,2015,https://boxd.it/7AOE,4
2024-06-19,Get Hard,2015,https://boxd.it/7Axe,0.5
2024-06-19,The Cabin in the Woods,2011,https://boxd.it/1zOc,5
2024-06-19,Whiplash,2014,https://boxd.it/7bQA,5
2024-06-19,The Lego Movie,2014,https://boxd.it/4pDO,4.5
2024-06-19,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2024-06-19,Django Unchained,2012,https://boxd.it/2cCk,4.5
2024-06-19,21 Jump Street,2012,https://boxd.it/J0,4.5
2024-06-19,In Time,2011,https://boxd.it/FPS,0.5
2024-06-19,Moneyball,2011,https://boxd.it/glS,4
2024-06-19,Horrible Bosses,2011,https://boxd.it/Ba2,3
2024-06-19,Limitless,2011,https://boxd.it/Aly,4
2024-06-19,Megamind,2010,https://boxd.it/16Sk,4
2024-06-19,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2024-06-19,Inception,2010,https://boxd.it/1skk,3.5
2024-06-19,Shutter Island,2010,https://boxd.it/1U82,4
2024-06-19,The Princess and the Frog,2009,https://boxd.it/1WQq,4
