Date,Name,Year,Letterboxd URI
2024-01-14,Parasite,2019,https://boxd.it/hTha
2024-01-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-01-14,Poison,2023,https://boxd.it/Is7Q
2024-01-14,No Hard Feelings,2023,https://boxd.it/xouu
2024-01-14,Barbie,2023,https://boxd.it/bCLK
2024-01-14,The Menu,2022,https://boxd.it/lScm
2024-01-14,Letter to a Pig,2022,https://boxd.it/zSpy
2024-01-14,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-01-14,Babylon,2022,https://boxd.it/mM02
2024-01-19,Triangle of Sadness,2022,https://boxd.it/hXlq
2024-01-19,Pulp Fiction,1994,https://boxd.it/29Pq
2024-01-19,The Band's Visit,2007,https://boxd.it/239I
2024-01-20,Okja,2017,https://boxd.it/dvXe
2024-01-21,Uncut Gems,2019,https://boxd.it/gXGc
2024-01-21,The House,2022,https://boxd.it/yVza
2024-01-21,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2024-01-24,Portrait of My Family in My 13th Year,2017,https://boxd.it/kLnU
2024-01-31,Happy as Lazzaro,2018,https://boxd.it/hiVs
2024-02-02,Poor Things,2023,https://boxd.it/tNWU
2024-02-04,99 Dizengoff Street,1979,https://boxd.it/2Iz8
2024-02-04,The Troupe,1978,https://boxd.it/qT6
2024-02-04,Greenland,2014,https://boxd.it/jpZq
2024-02-17,Last Night in Soho,2021,https://boxd.it/lbJC
2024-02-17,White Eye,2019,https://boxd.it/p9CM
2024-02-18,Midsommar,2019,https://boxd.it/jhxe
2024-02-24,Past Lives,2023,https://boxd.it/oNB8
2024-02-24,Guided Tour,2009,https://boxd.it/ouqA
2024-02-25,Licorice Pizza,2021,https://boxd.it/qTKY
2024-02-25,Smoking Causes Coughing,2022,https://boxd.it/wVl4
2024-03-02,Aftersun,2022,https://boxd.it/Arw0
2024-03-02,The Whale,2022,https://boxd.it/tw4c
2024-03-09,Saltburn,2023,https://boxd.it/z4eg
2024-03-09,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-17,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2024-03-28,She's the Man,2006,https://boxd.it/1Y7W
2024-04-06,Manchester by the Sea,2016,https://boxd.it/b2L0
2024-04-18,Petite Maman,2021,https://boxd.it/s6je
2024-05-02,Saint Clara,1996,https://boxd.it/rVM
2024-06-08,Pearl,2022,https://boxd.it/zPbe
2024-08-13,The Worst Person in the World,2021,https://boxd.it/oyws
2024-10-04,Footnote,2011,https://boxd.it/2o7o
2024-10-06,The Substance,2024,https://boxd.it/zanS
2024-10-12,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-10-13,Brokeback Mountain,2005,https://boxd.it/2b2q
2024-10-25,The Virgin Suicides,1999,https://boxd.it/28JG
2024-11-06,The Tourists,2007,https://boxd.it/Gqec
2024-11-06,Somewhere,2013,https://boxd.it/bBH8
2024-11-06,Plumb,2014,https://boxd.it/CfWO
2024-11-06,Thelma & Louise,1991,https://boxd.it/28Ew
2024-11-06,Genius Loci,2020,https://boxd.it/oHGm
2024-11-06,How to Swim,2018,https://boxd.it/mHpG
2024-11-06,Teclópolis,2009,https://boxd.it/aic4
2024-11-06,Krazy Kat and Ignatz Mouse at the Circus,1916,https://boxd.it/4EWG
2024-11-06,The Postman,2019,https://boxd.it/pBJw
2024-11-06,Our Way Back,2018,https://boxd.it/lEZa
2024-11-06,Leave of Absence,2017,https://boxd.it/nDwK
2024-11-06,When the Day Breaks,1999,https://boxd.it/50zk
2024-11-06,Orgesticulanismus,2008,https://boxd.it/ey8A
2024-11-06,Slow Light,2022,https://boxd.it/BXe0
2024-11-06,World of Tomorrow,2015,https://boxd.it/9Gr6
2024-11-06,Singles,2009,https://boxd.it/7wfg
2024-11-06,Travelogue Tel Aviv,2017,https://boxd.it/hjEs
2024-11-06,Bloomstreet 11,2018,https://boxd.it/jrMI
2024-11-06,Wednesday with Goddard,2016,https://boxd.it/fZaK
2024-11-06,Please Say Something,2008,https://boxd.it/1jyM
2024-11-06,Ties,2019,https://boxd.it/m7WE
2024-11-06,Walking,1968,https://boxd.it/6cYy
2024-11-06,Five Minutes to Sea,2018,https://boxd.it/k6ys
2024-11-06,Negative Space,2017,https://boxd.it/guxK
2024-11-06,Island,2017,https://boxd.it/hzu4
2024-11-06,Ryan,2004,https://boxd.it/IIU
2024-11-06,Analysis Paralysis,2016,https://boxd.it/eKMW
2024-11-06,Sog,2017,https://boxd.it/jegu
2024-11-06,The Dog Who Was a Cat Inside,2002,https://boxd.it/7fnM
2024-11-06,Ugly,2017,https://boxd.it/gZN0
2024-11-17,La Chimera,2023,https://boxd.it/vzVi
2024-11-17,Fargo,1996,https://boxd.it/2aHM
2024-11-25,Flavors of Iraq,2024,https://boxd.it/q6HG
2024-12-05,Aya,2012,https://boxd.it/5CFU
2024-12-07,Memoir of a Snail,2024,https://boxd.it/EgX8
2024-12-07,Wicked,2024,https://boxd.it/e8ME
2024-12-22,Anora,2024,https://boxd.it/Egcw
2024-12-29,Juno,2007,https://boxd.it/210a
2025-01-12,Perfect Blue,1997,https://boxd.it/1W7A
2025-01-26,Where Do We Go Now?,2011,https://boxd.it/2GgS
2025-03-08,Terrorism and Kebab,1992,https://boxd.it/6dk
2025-03-08,Caramel,2007,https://boxd.it/20Jo
2025-04-05,A Real Pain,2024,https://boxd.it/CjNG
2025-04-12,Mickey 17,2025,https://boxd.it/q1Dk
2025-04-29,A Summer in La Goulette,1996,https://boxd.it/41eq
2025-05-27,Rashomon,1950,https://boxd.it/2a9K
2025-05-28,backflip,2022,https://boxd.it/JlhG
2025-05-28,Elephant,2003,https://boxd.it/287i
2025-05-28,Black Swan,2010,https://boxd.it/Sw0
2025-05-31,The Square,2017,https://boxd.it/e5YW
2025-06-01,Final Destination,2000,https://boxd.it/1YrC
2025-08-23,KPop Demon Hunters,2025,https://boxd.it/ufwK
2025-09-03,Materialists,2025,https://boxd.it/GZlW
2025-09-08,The Monkey,2025,https://boxd.it/Gwiu
2025-09-23,The Hunger Games,2012,https://boxd.it/2uds
2025-10-02,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY
2025-11-08,In the Dark,2004,https://boxd.it/aJOu
2025-11-09,My Life as a Zucchini,2016,https://boxd.it/dL2y
2025-11-30,Wicked: For Good,2025,https://boxd.it/AyfK
2025-12-09,The Balcony Movie,2021,https://boxd.it/vWD2
2026-01-01,Wake Up Dead Man,2025,https://boxd.it/uAKS
2026-01-11,Marty Supreme,2025,https://boxd.it/Off0
2026-01-25,An Officer and a Gentleman,1982,https://boxd.it/26xS
2026-02-01,Honeyland,2019,https://boxd.it/kL8K
2026-02-03,Image of Victory,2019,https://boxd.it/vvhS
2026-02-03,Volte,2017,https://boxd.it/gwpo
2026-02-04,The Viewing Booth,2019,https://boxd.it/mq68
2026-02-07,Hamnet,2025,https://boxd.it/woVy
2026-03-02,Hereditary,2018,https://boxd.it/hNVe
2026-03-22,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI
2026-04-18,Project Hail Mary,2026,https://boxd.it/pEeQ
